 * Serving Flask app 'server'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:9543
 * Running on http://172.17.0.2:9543
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 138-778-947
172.21.0.4 - - [07/May/2024 23:51:09] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:51:41] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:51:58] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:52:00] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:52:01] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:52:01] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:52:11] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:52:12] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:52:20] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:52:34] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:52:41] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:52:46] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:52:48] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:52:56] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:53:03] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:53:07] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:53:15] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:53:15] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:53:28] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:53:32] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:53:37] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:53:37] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:53:40] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:54:00] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:54:06] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:54:15] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:54:20] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:54:32] "POST /record_run HTTP/1.1" 200 -
